class_child,class_parent,year,param,down_err,up_err,signif,signif01,signif001
Left,Female,2019,-0.005858646423113841,0.030063768534272676,0.030063768534272676,False,False,False
Left,Poor,2019,0.022375396469626798,0.03368861124012534,0.03368861124012533,True,False,False
Left,Rich,2019,-0.03343231966691794,0.03041449193217534,0.030414491932175342,True,True,True
Left,Left,2019,-0.04723209605732881,0.030435935221992505,0.030435935221992505,True,True,True
Left,Right,2019,0.07523232183656564,0.03081455461379469,0.03081455461379469,True,True,True
Right,Young,2019,0.010714469026906346,0.03415313350293905,0.034153133502939054,False,False,False
Right,Old,2019,0.006560413683192024,0.028482675850102702,0.028482675850102702,False,False,False
Right,Male,2019,-0.009933132481570255,0.030629033263820153,0.030629033263820153,False,False,False
Right,Female,2019,-0.020877292548805784,0.02899029288436132,0.02899029288436132,True,False,False
Right,Poor,2019,8.532400444883975e-05,0.03233525790512337,0.03233525790512337,False,False,False
Right,Rich,2019,-0.017524379509446967,0.029387681780836287,0.029387681780836287,True,False,False
Right,Left,2019,0.04857220801531452,0.029057747576563903,0.029057747576563903,True,True,True
Right,Right,2019,-0.023680626513900856,0.029970208093766777,0.029970208093766774,True,True,False
Young,Young,2020,0.03226784664292737,0.0329776677641332,0.0329776677641332,True,True,False
Young,Old,2020,-0.027071581227471404,0.025904396593607718,0.025904396593607718,True,True,True
Young,Male,2020,-0.010731379313706286,0.029645175271504665,0.029645175271504665,False,False,False
Young,Female,2020,0.0263528228746078,0.028067473440367016,0.028067473440367016,True,True,False
Young,Poor,2020,-0.012385111955993261,0.03137248325456529,0.03137248325456529,False,False,False
Young,Rich,2020,0.0014638564725401087,0.02681335689494878,0.02681335689494878,False,False,False
Young,Left,2020,-0.02063926754616971,0.02810563265639336,0.028105632656393365,True,False,False
Young,Right,2020,-0.011977251483535059,0.02929242795213636,0.029292427952136366,False,False,False
Old,Young,2020,-0.05361165535458864,0.03110308068267873,0.03110308068267873,True,True,True
Old,Old,2020,0.045133398382267265,0.02394077017749986,0.023940770177499862,True,True,True
Old,Male,2020,0.01287744815067495,0.027676810404906965,0.027676810404906965,False,False,False
Old,Female,2020,-0.015532916292935156,0.026192392623021796,0.026192392623021796,False,False,False
Old,Poor,2020,0.005260832181846402,0.029400412495458734,0.029400412495458734,False,False,False
Old,Rich,2020,0.010686930741696306,0.02486424765008141,0.02486424765008141,False,False,False
Old,Left,2020,0.017745912647296275,0.026148696458520578,0.02614869645852058,True,False,False
Old,Right,2020,-0.025331990194082887,0.027355249795377512,0.027355249795377515,True,True,False
Male,Young,2020,0.016084734626699633,0.030694955146490645,0.030694955146490642,False,False,False
Male,Old,2020,-0.025424990090069072,0.02406957792120172,0.024069577921201717,True,True,True
Male,Male,2020,0.02453910215757508,0.027361035475740363,0.02736103547574036,True,True,False
Male,Female,2020,-0.025774083806391703,0.026210155910509934,0.02621015591050993,True,True,False
Male,Poor,2020,0.01644687905655998,0.029045068330366592,0.029045068330366592,False,False,False
Male,Rich,2020,-0.020793760992564487,0.024928532904788494,0.024928532904788494,True,True,False
Male,Left,2020,-0.007150888658712328,0.026083068774785396,0.026083068774785396,False,False,False
Male,Right,2020,0.020202234593158352,0.027109293462872757,0.027109293462872757,True,False,False
Female,Young,2020,0.015475475020076023,0.031185388330504292,0.03118538833050429,False,False,False
Female,Old,2020,0.013664233723198038,0.024175717828911005,0.024175717828911005,False,False,False
Female,Male,2020,-0.04064553940648396,0.027955987135585815,0.02795598713558582,True,True,True
Female,Female,2020,0.025453550614560283,0.026253749529246688,0.026253749529246688,True,True,False
Female,Poor,2020,-0.008525779339135458,0.029611558307006652,0.02961155830700666,False,False,False
Female,Rich,2020,-0.007580442063045132,0.025019683202197468,0.025019683202197468,False,False,False
Female,Left,2020,0.004352632041904641,0.026262789736487366,0.026262789736487366,False,False,False
Female,Right,2020,-0.01500287906182576,0.02755865094477414,0.027558650944774145,False,False,False
Poor,Young,2020,-0.014861184638904177,0.03161555751285441,0.03161555751285441,False,False,False
Poor,Old,2020,-0.01650123313685963,0.024820768191118465,0.024820768191118465,True,False,False
Poor,Male,2020,0.01299500562455243,0.028275427675516246,0.028275427675516246,False,False,False
Poor,Female,2020,-0.019313098717353615,0.027016733869203113,0.027016733869203113,True,False,False
Poor,Poor,2020,0.02379041346322805,0.030004094939594193,0.03000409493959419,True,True,False
Poor,Rich,2020,-0.010629460914704764,0.02571551192100866,0.02571551192100866,False,False,False
Poor,Left,2020,0.01887078274007046,0.02690653319761954,0.026906533197619535,True,False,False
Poor,Right,2020,0.0067215990326220006,0.027951220819980128,0.027951220819980128,False,False,False
Rich,Young,2020,-0.017564190933498737,0.03230914051906421,0.03230914051906421,False,False,False
Rich,Old,2020,-0.0011329318112188573,0.024897071634850824,0.024897071634850824,False,False,False
Rich,Male,2020,-0.0248347171268304,0.028808314040086477,0.028808314040086474,True,True,False
Rich,Female,2020,0.024648668989711714,0.027144056435060383,0.027144056435060383,True,True,False
Rich,Poor,2020,-0.05573711936709128,0.030678763659995827,0.03067876365999582,True,True,True
Rich,Rich,2020,0.043492925452659696,0.025794923448695682,0.025794923448695682,True,True,True
Rich,Left,2020,-0.021132693682593247,0.02713309070324843,0.02713309070324843,True,False,False
Rich,Right,2020,-0.01940357226888956,0.02846715132869698,0.02846715132869698,True,False,False
Left,Young,2020,-0.011356915292607234,0.03181639064735962,0.03181639064735962,False,False,False
Left,Old,2020,0.01343391202832289,0.024605533737706197,0.024605533737706194,False,False,False
Left,Male,2020,-0.028459604220848832,0.02840550193227783,0.028405501932277834,True,True,True
Left,Female,2020,0.0065382340323300175,0.026818188327782898,0.026818188327782898,False,False,False
Left,Poor,2020,-0.006677368299269303,0.030127353191883494,0.03012735319188349,False,False,False
Left,Rich,2020,0.0009459874806720426,0.025498226190696617,0.025498226190696617,False,False,False
Left,Left,2020,-0.03131090851641402,0.02677423349500247,0.02677423349500247,True,True,True
Left,Right,2020,0.030189669781365096,0.028039182447126488,0.028039182447126488,True,True,True
Right,Young,2020,-0.0013309829060240612,0.030568056150624606,0.03056805615062461,False,False,False
Right,Old,2020,-0.0026170832891613087,0.02396263173714003,0.02396263173714003,False,False,False
Right,Male,2020,-0.001009607568509028,0.027336199459065156,0.027336199459065156,False,False,False
Right,Female,2020,-0.03205482354445405,0.026052578654446948,0.02605257865444695,True,True,True
Right,Poor,2020,0.018407948318145205,0.028954384654341463,0.028954384654341463,True,False,False
Right,Rich,2020,0.015573835559836829,0.024789817301820023,0.02478981730182002,True,False,False
Right,Left,2020,0.048327474842313256,0.025916746641717756,0.025916746641717753,True,True,True
